·,url,sleeve_type,Gender,Season,Style,Category,Collar,Sleeve,Fabric,Contour,Clothes_length,Technology,Texture,accessories,Color,title
729272000000.0,https://zhiyi-image.oss-cn-hangzhou.aliyuncs.com/data_infra/taobao/bb7394fe9157707d4bc78d7f94d6cbab_bbb7c82640ccd51d64736cbf947e7e7a.jpg,,,,,,,,,,,,,,,夏季痞帅短袖T恤男ins潮牌侧边拉链体恤衫2023新款夏装休闲半截袖
721516000000.0,https://zhiyi-image.oss-cn-hangzhou.aliyuncs.com/data_infra/taobao/fdac28c1835401ef5d150765513c9ff6_cfab974c7779c9ecce190e3337ded8ad.jpg,,,,,,,,,,,,,,,纯欲风性感v领网纱长袖t恤女夏季新款小众扎染修身防晒打底衫上衣
556487000000.0,https://zhiyi-image.oss-cn-hangzhou.aliyuncs.com/data_infra/taobao/8a359d40d910ad30567dc5c1059f82b4_0d64861b7e61034d8628f640decb1470.jpg,,,,,,,,,,,,,,,李宁女款长袖T恤春秋季休闲运动生活女保暖圆领运动服上衣ATLN074
653363000000.0,https://zhiyi-image.oss-cn-hangzhou.aliyuncs.com/data_infra/taobao/b894d25cb59eaf137cc5a9e67cd15e0a_8a1b724856fa59705a629b9c4699281c.jpg,,,,,,,,,,,,,,,2022春秋新款时尚拉链开叉T恤女长袖设计感小众上衣短款打底衫潮
679736000000.0,https://zhiyi-image.oss-cn-hangzhou.aliyuncs.com/data_infra/taobao/385800302c28544e4b4d1e3f14021796_692baa5dfd49beb71313cd4acd274dc3.jpg,,,,,,,,,,,,,,,港味黑色微喇叭裤女秋季修身显瘦弹力休闲裤高腰辣妹冷淡风长裤子
598865000000.0,https://zhiyi-image.oss-cn-hangzhou.aliyuncs.com/data_infra/taobao_dataline/24e354afb28d1716cecbfd88ef2c6f54_486a520ebdf0805ba1e6c816b09e28cb.jpg,,,,,,,,,,,,,,,原创夏季男士暗黑风设计师不规则短袖T恤个性潮牌拼接宽松上衣潮
657045000000.0,https://zhiyi-image.oss-cn-hangzhou.aliyuncs.com/data_infra/taobao/3528d4e11bb424a2c1483166b432602f_4b08956867173af916fea505809a1007.jpg,,,,,,,,,,,,,,,李宁女长袖2021新款跑步系列运动服反光速干凉爽上衣T恤ATLR066-4
634060000000.0,https://zhiyi-image.oss-cn-hangzhou.aliyuncs.com/data_infra/taobao/f035b708c86ff0acd18f03daaf3e57a2_68eb00438d5dae97f6f32a035ddbe7f2.jpg,,,,,,,,,,,,,,,明星同款AGOLDE夏季新款高腰直筒全长仿皮裤女黑色长裤修饰腿型
668136000000.0,https://zhiyi-image.oss-cn-hangzhou.aliyuncs.com/data_infra/taobao/8c4903e02b8757960a53ea07ef6a910e_c4e31cba1e703923881857622a3abb2a.jpg,,,,,,,,,,,,,,,带杠条纹华夫格短袖T恤男夏装加肥加大码潮胖人宽松圆领半袖上衣
605944000000.0,https://zhiyi-image.oss-cn-hangzhou.aliyuncs.com/data_infra/taobao_dataline/8e0faa5af988f3f874fd87c097b6b71c_c24941d4fe312eb5b6c9355df823fba2.jpg,,,,,,,,,,,,,,,chao百搭的经典格纹 宽松显瘦 秋季新款 篙腰A字半身裙 女Q1380
671624000000.0,https://zhiyi-image.oss-cn-hangzhou.aliyuncs.com/data_infra/taobao/bc1fd9469474e2e1e2c42264baf9dfae_9a30818d9e545a3c7e648a4608eac6f4.jpg,,,,,,,,,,,,,,,专柜正品 Nike  DRI-FIT 男子弹力压缩速干运动长袖紧身衣 DD1991
623966000000.0,https://zhiyi-image.oss-cn-hangzhou.aliyuncs.com/data_infra/taobao/28b27ab6bfbaebdae601b9e03f5f4330_f946ea5fa3740271e49dcad018518ea0.jpg,,,,,,,,,,,,,,,设计感小众套头卫衣女春秋薄款2021年新款韩版网红炸街上衣ins潮
729186000000.0,https://zhiyi-image.oss-cn-hangzhou.aliyuncs.com/data_infra/taobao/933e5cfcbf384fc3bd8319649a67c3a2_403be5c61497c9061f8cca0f8cd5dfe5.jpg,,,,,,,,,,,,,,,三三家 白色圆领别针印花短袖t恤夏季女新款上衣韩版宽松小众2023
723662000000.0,https://zhiyi-image.oss-cn-hangzhou.aliyuncs.com/data_infra/taobao/2c6a85036216ed6740acaedb27c0ba50_958296869f419c7fc879645bd3682a0f.jpg,,,,,,,,,,,,,,,MOISHE TIDE美式潮牌撞色拼接设计感机车短袖T恤男宽松情侣赛车服
716152000000.0,https://zhiyi-image.oss-cn-hangzhou.aliyuncs.com/data_infra/taobao/2690716140f9048dd42924704eeadc7e_8271dc2563a6269b3fe28d008ff00d0d.jpg,,,,,,,,,,,,,,,RL | REINDEE LUSION 23SS 对称解构剪裁四袋拉链纯棉透气短袖T恤
623690000000.0,https://zhiyi-image.oss-cn-hangzhou.aliyuncs.com/data_infra/taobao/f45c649cb8b31f45fbb735d4212d00be_379026151bfce7c89d45b962ccd4d863.jpg,,,,,,,,,,,,,,,秋季套装女2020年新款休闲时尚潮流洋气小时拉链上衣哈伦裤两件套
723035000000.0,https://zhiyi-image.oss-cn-hangzhou.aliyuncs.com/data_infra/taobao/9b1b02e7a2b484eba42efb3dca4e360a_25673d3f86ea39dc280a0e3c77dfaef9.jpg,,,,,,,,,,,,,,,痞帅设计感小众拼接男士短袖t恤夏季发型师潮牌男装高级感潮男款
587558000000.0,https://zhiyi-image.oss-cn-hangzhou.aliyuncs.com/data_infra/taobao/d79c039cc09f3a85f54014985854bd82_690f4e2c505f05b9e4004137d11ab571.jpg,,,,,,,,,,,,,,,网红老爹裤女2019春新款宽松显瘦cec裤子直筒高腰萝卜破洞牛仔裤
600933000000.0,https://zhiyi-image.oss-cn-hangzhou.aliyuncs.com/data_infra/taobao_dataline/812596fb9661f01cf0cc2aa6c279be67_e799ec2c7e49ac9699f003d0afd23693.jpg,,,,,,,,,,,,,,,胖妹妹大码女初秋装2019新款微胖mm显瘦t恤遮肚打底衫上衣减龄潮
692641000000.0,https://zhiyi-image.oss-cn-hangzhou.aliyuncs.com/data_infra/taobao/e2e49bb227243f76c6ad605035597a33_e5b09dcd3848d354ca907315ca839d4a.jpg,,,,,,,,,,,,,,,黑色中长款加绒打底衫女秋冬2022新款遮屁股内搭T恤配鲨鱼裤上衣
630205000000.0,https://zhiyi-image.oss-cn-hangzhou.aliyuncs.com/data_infra/taobao/5c866696c39b56a7835d97051ca1eeed_9b5c15ab5025b3e79deb6d0efc0fe444.jpg,,,,,,,,,,,,,,,活力四射儿童本命年德绒保暖内衣套装男童中大童加绒秋衣秋裤秋冬
573933000000.0,https://zhiyi-image.oss-cn-hangzhou.aliyuncs.com/data_infra/taobao/633580c5d1c3dc07a83a3cf1daf63c15_796e67c685a6aae4a29e81c7961c3bd2.jpg,,,,,,,,,,,,,,,双肩包男ins超火韩版大容量高中学生书包女时尚潮流旅行ins风背包
693032000000.0,https://zhiyi-image.oss-cn-hangzhou.aliyuncs.com/data_infra/taobao/35faacb31c37978ed1a403d381415f8d_01563e2800e154d95f047f61dbb89732.jpg,,,,,,,,,,,,,,,加绒加厚半高领打底衫男装保暖衣服高端欧货潮牌双面德绒长袖t恤
654196000000.0,https://zhiyi-image.oss-cn-hangzhou.aliyuncs.com/data_infra/taobao/56f5b2c07bb8cc282bc4b69d65f83f17_4a8368642309ddce46b2eee0c6e984d1.jpg,,,,,,,,,,,,,,,SALONDEMAG(magjay)-P韩国东大门代购2021秋季女装新拼色修身T恤
